id,name,description,tags,created_date,references,source,author,risk_score,similarity_score,keyword_score,novelty_score,most_similar_cisa_idx,matched_keywords,num_keywords_matched,cluster,risk_score_new,risk_score_old,is_critical
68ff293c6892fe669c7aa472,Uncovering Qilin attack methods exposed through multiple cases,"The ransomware group Qilin has been highly active in 2025, publishing over 40 victim cases per month on its leak site. Manufacturing, professional services, and wholesale trade are the most affected sectors. Attackers likely originate from Eastern Europe or Russian-speaking regions. They use tools like Cyberduck for data exfiltration and leverage notepad.exe and mspaint.exe to view sensitive information. The attack flow includes initial VPN access, reconnaissance, credential theft, lateral movement, and ransomware deployment. Two encryptors are often used: one spread via PsExec and another targeting network shares. The ransomware encrypts files, deletes backups, and leaves ransom notes. Persistence is achieved through scheduled tasks and registry modifications.","manufacturing, ransomware, systembc, cobalt strike, qilin",2025-10-27T08:11:40.746000,https://blog.talosintelligence.com/uncovering-qilin-attack-methods-exposed-through-multiple-cases/,AlienVault OTX,Unknown,0.718379051099122,0.6367581021982441,0.75,1.0,4,"ransomware, lateral movement, psexec, scheduled task, data exfiltration",5,3,0.718379051099122,0.7976301737254206,True
69041be38572a6da98b3db35,BRONZE BUTLER exploits Japanese asset management software vulnerability,"In mid-2025, a sophisticated campaign by the Chinese state-sponsored threat group BRONZE BUTLER (also known as Tick) exploited a zero-day vulnerability in Motex LANSCOPE Endpoint Manager. The vulnerability, CVE-2025-61932, allowed remote attackers to execute arbitrary commands with SYSTEM privileges. The threat actors used Gokcpdoor malware and the Havoc C2 framework for command and control. They also employed legitimate tools and services for lateral movement and data exfiltration, including goddi, remote desktop applications, and 7-Zip. Cloud storage services were accessed for potential data exfiltration. Organizations are advised to upgrade vulnerable LANSCOPE servers and review internet-facing servers with LANSCOPE components installed.","havoc, oaed loader, cve-2025-61932, zero-day, gokcpdoor, lanscope",2025-10-31T02:16:03.378000,https://news.sophos.com/en-us/2025/10/30/bronze-butler-exploits-japanese-asset-management-software-vulnerability,AlienVault OTX,Unknown,0.7043346537832332,0.6086693075664665,0.75,1.0,7,"zero-day, lateral movement, command and control, c2, data exfiltration",5,7,0.7043346537832332,0.7883608714969339,True
691bd5c16cda885503b01c6a,"Frontline Intelligence: Analysis of UNC1549 TTPs, Custom Tools, and Malware Targeting the Aerospace and Defense Ecosystem","UNC1549, an Iranian-linked threat group, has been targeting aerospace, aviation, and defense industries since mid-2024. They employ sophisticated initial access techniques, including exploiting third-party relationships and targeted phishing. The group uses custom malware like TWOSTROKE, LIGHTRAIL, and DEEPROOT for persistence, and tools like DCSYNCER.SLICK and CRASHPAD for privilege escalation. UNC1549 demonstrates advanced lateral movement, reconnaissance, and defense evasion tactics. They extensively use SSH reverse tunnels and Azure infrastructure for command and control. The group's primary objective appears to be espionage, focusing on data collection and leveraging compromised organizations to target others in the same sector.","dcsyncer.slick, third-party compromise, sightgrab, aerospace, trusttrap, lateral movement, minibike, defense, espionage, lightrail, deeproot, crashpad, twostroke, pollblend, custom malware, phishing, privilege escalation, ghostline",2025-11-18T02:11:13.651000,https://cloud.google.com/blog/topics/threat-intelligence/analysis-of-unc1549-ttps-targeting-aerospace-defense,AlienVault OTX,Unknown,0.6930062707767217,0.5860125415534434,0.75,1.0,7,"privilege escalation, lateral movement, phishing, command and control, defense evasion",5,8,0.6930062707767217,0.7808841387126364,True
68c010b430d8015144977323,"Unmasking The Gentlemen Ransomware: Tactics, Techniques, and Procedures Revealed","The Gentlemen ransomware group has emerged as a sophisticated threat actor targeting multiple industries across 17 countries, with a focus on the Asia-Pacific region. Their campaign demonstrates advanced capabilities, including the use of custom tools to bypass enterprise endpoint protections, exploitation of legitimate drivers, Group Policy manipulation, and encrypted data exfiltration. The group's tactics involve thorough reconnaissance, adaptive defense evasion techniques, and systematic compromise of enterprise environments. They have shown the ability to tailor their approach based on the specific security solutions encountered, highlighting a significant evolution in ransomware operations. The attackers leveraged various tools and techniques for lateral movement, persistence, and ransomware deployment, including the abuse of privileged domain accounts and Group Policy Objects.","ransomware, lateral movement, the gentlemen ransomware, defense evasion, custom tools, driver abuse, data exfiltration, group policy manipulation, enterprise targeting",2025-09-09T11:34:12.859000,https://www.trendmicro.com/en_us/research/25/i/unmasking-the-gentlemen-ransomware.html,AlienVault OTX,Unknown,0.686013665757096,0.6920273315141922,0.6,1.0,4,"ransomware, lateral movement, data exfiltration, defense evasion",4,3,0.686013665757096,0.7663690193996835,True
692ff914980b448aea448537,Shai-Hulud V2 Poses Risk to NPM Supply Chain,"A second wave of the Shai-Hulud malware campaign, dubbed 'The Second Coming', has emerged targeting the npm ecosystem. This advanced software supply chain attack has compromised over 700 npm packages and created more than 27,000 malicious GitHub repositories. Shai-Hulud V2 introduces critical advancements such as pre-install phase execution, persistent backdoor access via self-hosted GitHub Actions runners, cross-victim credential recycling, and a destructive failsafe mechanism. The malware harvests credentials from various sources, exfiltrates data via GitHub, and propagates across the npm ecosystem. It also features a GitHub Actions backdoor for persistent remote code execution and includes specialized logic for exploiting Azure DevOps build agents.","exfiltration, github, supply chain, backdoor, shai-hulud v2, worm, credential theft",2025-12-03T08:47:16.995000,https://www.zscaler.com/blogs/security-research/shai-hulud-v2-poses-risk-npm-supply-chain,AlienVault OTX,Unknown,0.6832697466139606,0.5665394932279211,0.75,1.0,0,"supply chain attack, software supply chain, remote code execution, rce, backdoor",5,7,0.6832697466139606,0.774458032765214,True
68cb5d39b043cd92b8527cff,"""Shai-Hulud"" Worm Compromises npm Ecosystem in Supply Chain Attack","A widespread software supply chain attack targeting the Node Package Manager (npm) ecosystem has been discovered, involving a novel self-replicating worm called ""Shai-Hulud"". The worm has compromised over 180 software packages, including widely used libraries. It operates by harvesting credentials, exfiltrating data, and automatically propagating itself through compromised developer accounts. The attack likely originated from a phishing campaign spoofing npm. The malware scans for sensitive credentials, including npm tokens and cloud service API keys, and publicly exposes them on GitHub. This attack represents a significant evolution in supply chain threats, potentially leading to cloud service compromises, data theft, and lateral movement within networks.","credential harvesting, phishing, supply chain, shai-hulud, worm, npm, self-replicating, javascript",2025-09-18T01:15:37.221000,"https://unit42.paloaltonetworks.com/wp-content/uploads/2025/09/06_Malware_Category_1920x900.jpg, https://unit42.paloaltonetworks.com/npm-supply-chain-attack/",AlienVault OTX,Unknown,0.6644451613570639,0.6488903227141278,0.6,1.0,0,"supply chain attack, software supply chain, lateral movement, phishing",4,7,0.6644451613570639,0.7521338064956622,True
68a3aebbf92e6f27e1be7207,Dissecting PipeMagic: Inside the architecture of a modular backdoor framework,"PipeMagic is a sophisticated modular backdoor used by the Storm-2460 threat actor, disguised as a legitimate ChatGPT Desktop Application. It employs a highly flexible architecture with multiple linked list structures for payload management, execution, and networking. The malware communicates with its command and control server via a dedicated networking module and can dynamically load and execute various payload modules. PipeMagic's design allows for stealthy operation and granular control over compromised hosts, making detection and analysis challenging. The threat actor has targeted multiple sectors across different geographies, using PipeMagic in conjunction with a zero-day exploit to deploy ransomware.","zero-day, clfs, backdoor, pipemagic, ransomware, modular, windows, cve-2025-29824, chatgpt",2025-08-18T22:52:43.768000,https://www.microsoft.com/en-us/security/blog/2025/08/18/dissecting-pipemagic-inside-the-architecture-of-a-modular-backdoor-framework/,AlienVault OTX,Unknown,0.6565877676199694,0.6331755352399389,0.6,1.0,1,"ransomware, zero-day, backdoor, command and control",4,2,0.6565877676199694,0.7469479266291799,True
68e8167610c7ac8e1bf687ac,Velociraptor leveraged in ransomware attacks,"A ransomware attack involving the use of Velociraptor, an open-source digital forensics tool, has been linked to the threat actor Storm-2603. The attackers deployed Warlock, LockBit, and Babuk ransomware to encrypt virtual machines and servers. They exploited a vulnerability in an outdated version of Velociraptor for privilege escalation and persistence. The campaign involved disabling security measures, modifying Group Policy Objects, and using PowerShell scripts for encryption and data exfiltration. The attack bears similarities to Storm-2603's tactics, including the use of multiple ransomware variants and specific techniques like manipulating IIS components and GPOs. The incident highlights the growing trend of threat actors utilizing commercial and open-source tools in their operations.","ransomware, lockbit, open-source-tools, cve-2025-6264, data-exfiltration, velociraptor",2025-10-09T20:09:26.730000,https://blog.talosintelligence.com/velociraptor-leveraged-in-ransomware-attacks/,AlienVault OTX,Unknown,0.6540463771466011,0.6280927542932022,0.6,1.0,4,"ransomware, rce, privilege escalation, data exfiltration",4,3,0.6540463771466011,0.7452706089167568,True
68fa32c52d34059b97a7a9f0,Agenda Ransomware Deploys Linux Variant on Windows Systems Through Remote Management Tools and BYOVD Techniques,"Agenda ransomware group, also known as Qilin, has been deploying a Linux-based ransomware binary on Windows hosts using legitimate remote management and file transfer tools. This cross-platform execution technique bypasses Windows-centric detections and security solutions. The attack chain includes the use of BYOVD for defense evasion, deployment of multiple SOCKS proxy instances for C&C traffic obfuscation, and targeted theft of backup credentials. Agenda has affected 591 victims across 58 countries since January 2025, primarily targeting organizations in developed markets and high-value industries. The group's sophisticated approach combines legitimate tools, cross-platform execution, and strategic targeting of backup infrastructure, making detection significantly more challenging for organizations.","ransomware, coroxy, byovd",2025-10-23T13:51:01.240000,https://www.trendmicro.com/en_us/research/25/j/agenda-ransomware-deploys-linux-variant-on-windows-systems.html,AlienVault OTX,Unknown,0.6528940133018089,0.6257880266036178,0.6,1.0,4,"ransomware, c&c, obfuscation, defense evasion",4,3,0.6528940133018089,0.7445100487791939,True
68a608153322e1cffd371694,From SharePoint Vulnerability Exploit to Enterprise Ransomware,"The Warlock ransomware group exploited unpatched Microsoft SharePoint servers to gain initial access and deploy ransomware across enterprise environments. The attack chain involved exploiting vulnerabilities, privilege escalation through Group Policy modification, credential theft using Mimikatz, lateral movement via SMB, and eventual ransomware deployment. Files were encrypted with a .x2anylock extension and data exfiltrated using RClone. The campaign targeted organizations globally across various industries. Warlock appears to be derived from leaked LockBit 3.0 code and employs sophisticated evasion techniques like DLL sideloading. The attack highlights the dangers of delayed patching and the importance of layered defenses.","warlock, cve-2023-27532, dll sideloading, credential theft, lockbit 3.0, lateral movement, data exfiltration, vulnerability, lockbit, ransomware, sharepoint",2025-08-20T17:38:29.817000,https://www.trendmicro.com/en_us/research/25/h/warlock-ransomware.html,AlienVault OTX,Unknown,0.6463852851640827,0.6127705703281654,0.6,1.0,4,"ransomware, privilege escalation, lateral movement, mimikatz",4,3,0.6463852851640827,0.7402142882082947,True
